Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Riverkin,AI/ML,AI/ML,B2B,TypeScript,2025,1.7M CHF,Undisclosed,Series A,,Switzerland,,,,,
AI,AI/ML,AI/ML,B2B,AI,2025,10.0K CHF,Funding Round,Pre-Seed,,Switzerland,,,,,
Photonics,Unknown,,Unknown,Venture Capital,2025,,Seed,Seed,,Switzerland,,,,,
Novaccess,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
DEXTER,Unknown,Medical Devices,Unknown,,2025,150.0M USD,Undisclosed,Growth,,Switzerland,,,,,
Tasteomics,HEALTHCARE,Digital Health,Unknown,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Forgis,AI/ML,AI/ML,B2B,AI,2025,4.5M USD,Undisclosed,Series B,,Switzerland,,,,,
PureDEL,AI/ML,Drug Discovery,B2B,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
GlioCART,AI/ML,AI/ML,B2B,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Forgis,AI/ML,Manufacturing,B2B,Manufacturing,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Virometix,Unknown,,Unknown,,2025,15.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Autonomyo,Unknown,,Unknown,,2025,1.4M EUR,Funding Round,Series A,,Switzerland,,,,,
CASUS,Unknown,,Unknown,TypeScript,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CO2,AI/ML,AI/ML,B2B,Cleantech,2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
BioVersys,HEALTHCARE,MedTech,Unknown,Healthtech,2025,14.0M CHF,Undisclosed,Series C,,Switzerland,,,,,
YQuantum,AI/ML,AI/ML,B2B,"Biotech, Scalable",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
BTRY,AI/ML,AI/ML,B2B,Manufacturing,2025,5.7M USD,Undisclosed,Series B,,Switzerland,,,,,
DeepJudges,SOFTWARE,SaaS,B2B,"AI, SaaS, Venture Capital",2025,42.0M USD,Series A,Series A,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
FireDrone,AI/ML,Electric Vehicles,B2B,"Robotics, TypeScript",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
RetinAI,AI/ML,AI/ML,B2B,AI,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Mimic,AI/ML,AI/ML,B2B,"AI, Robotics",2025,16.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Tethys,ROBOTICS,Industrial Robotics,B2B,Robotics,2025,3.5M EUR,Pre-Seed,Pre-Seed,UBS,Switzerland,,,,,
ONWARD,HEALTHCARE,AI/ML,Unknown,,2025,50.85M EUR,Undisclosed,Growth,,Switzerland,,,,,
MoleSense,AI/ML,HealthTech,B2B,Healthtech,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Exnaton,SOFTWARE,SaaS,B2B,"AI, SaaS, TypeScript, Venture Capital",2025,,Series A,Series A,,Switzerland,,,,,
Anevo,AI/ML,AI/ML,B2B,PropTech,2025,,Pre-Seed,Pre-Seed,,Switzerland,,,,,
AIpowered,HEALTHCARE,Drug Discovery,B2B,"AI, Healthtech, IoT, Robotics, SaaS",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,SOFTWARE,Medical Devices,B2B,AI,2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,AI/ML,AI/ML,B2B,"AI, Biotech, Cleantech",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
RetinAI,AI/ML,AI/ML,B2B,AI,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Neology,Unknown,,Unknown,Biotech,2025,2.5M CHF,Undisclosed,Series A,Accel,Switzerland,,,,,
HemostOD,SOFTWARE,SaaS,B2B,"Manufacturing, SaaS",2025,4.3M CHF,Undisclosed,Series B,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
FenX,AI/ML,AI/ML,B2B,,2025,8.2M CHF,Undisclosed,Series B,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Germany,CLEANTECH,Industrial Robotics,B2B,Robotics,2025,3.3M EUR,Funding Round,Series B,,Switzerland,,,,,
Bioscibex,HEALTHCARE,RegTech,B2B,Manufacturing,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Corintis,Unknown,,Unknown,,2025,24.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Soverli,AI/ML,AI/ML,B2B,Cybersecurity,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Iron,AI/ML,AI/ML,B2B,Biotech,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Top100,AI/ML,AI/ML,B2B,,2025,,Venture Kick Grant,Pre-Seed,Venture Kick,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Lemna,AI/ML,Drug Discovery,B2B,Blockchain,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
PeriVision,AI/ML,AI/ML,B2B,AI,2025,2.4M CHF,Undisclosed,Series A,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Flybotix,AEROSPACE,Drones,Unknown,"Robotics, Venture Capital",2025,10.0M USD,Series A,Series A,,Switzerland,,,,,
Inkocell,HEALTHCARE,Drug Discovery,Unknown,Biotech,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
ETH,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CompPair,AI/ML,AI/ML,B2B,Cleantech,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CO2,AI/ML,Medical Devices,B2B,"AI, Cleantech",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Rhovica,MOBILITY,Medical Devices,Unknown,,2025,2.3M CHF,Funding Round,Series A,Accel,Switzerland,,,,,
Baxiva,Unknown,,Unknown,,2025,3.0M USD,Undisclosed,Series B,,Switzerland,,,,,
AIdriven,SOFTWARE,Medical Devices,B2B,"AI, Biotech, Robotics",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
InkVivo,SOFTWARE,Drug Discovery,B2B,"Logistics, SaaS, Venture Capital",2025,1.1M CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Inside,Unknown,,Unknown,,2025,1.0B USD,Undisclosed,Growth,,Switzerland,,,,,
Reshape,AI/ML,AI/ML,B2B,AI,2025,800.0K CHF,Undisclosed,Series A,,Switzerland,,,,,
Imaging,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
ASTRA,HEALTHCARE,Drug Discovery,Unknown,,2025,7.75M CHF,Undisclosed,Series B,,Switzerland,,,,,
LiDAR,SOFTWARE,SaaS,B2B,"AI, EdTech, SaaS",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Jaipur,AI/ML,AI/ML,B2B,"AI, Robotics",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Medyria,MOBILITY,Electric Vehicles,Unknown,,2025,1.5M CHF,Undisclosed,Series A,,Switzerland,,,,,
Scanvio,AI/ML,AI/ML,B2B,"AI, Healthtech",2025,3.4M USD,Undisclosed,Series B,,Switzerland,,,,,
AzureCell,AI/ML,Electric Vehicles,B2B,"Azure, Biotech, Cloud",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Grensol,Unknown,Circular Economy,Unknown,,2025,1.8M CHF,Undisclosed,Series A,,Switzerland,,,,,
CREAL,Unknown,WealthTech,Unknown,AR/VR,2025,8.9M USD,Funding Round,Series B,,Switzerland,,,,,
Swiss,AI/ML,AI/ML,B2B,AI,2025,2.26M CHF,Undisclosed,Series A,,Switzerland,,,,,
Comphya,Unknown,Drug Discovery,Unknown,Venture Capital,2025,7.5M CHF,Series A,Series A,,Switzerland,,,,,
Nautica,CLEANTECH,Autonomous,B2B,"Logistics, Mobility, Robotics, TypeScript",2025,4.0M USD,Undisclosed,Series B,,Switzerland,,,,,
Climeworks,Unknown,,Unknown,TypeScript,2025,1.0B USD,Funding Round,Growth,,Switzerland,,,,,
Beekeeper,SOFTWARE,SaaS,B2B,SaaS,2025,1.0B USD,Undisclosed,Growth,,Switzerland,,,,,
Migros,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Adiposs,AI/ML,Payments,B2B,,2025,4.0M CHF,Undisclosed,Series B,,Switzerland,,,,,
