year_month,source,tech_keyword,industry_keyword,article_count,total_articles_that_month,keyword_pct
2023-08,TechCrunch,,SpaceTech,1,230,0.4
2023-08,TechCrunch,,DigitalHealth,1,230,0.4
2023-08,TechCrunch,,Enterprise,1,230,0.4
2023-08,TechCrunch,PhysicalAI,,2,230,0.9
2023-08,TechCrunch,Cybersecurity,,25,230,10.9
2023-08,TechCrunch,,BioTech,1,230,0.4
2023-09,HackerNews,,HealthTech,1,30,3.3
2023-09,HackerNews,GenAI,,2,30,6.7
2023-09,HackerNews,LLM,,1,30,3.3
2023-09,HackerNews,Web3,,1,30,3.3
2023-09,TechCrunch,Cybersecurity,,16,230,7.0
2023-09,TechCrunch,GenAI,,48,230,20.9
2023-09,TechCrunch,LLM,,29,230,12.6
2023-09,TechCrunch,Web3,,18,230,7.8
2023-09,TechCrunch,Robotics,,8,230,3.5
2023-09,TechCrunch,PhysicalAI,,3,230,1.3
2023-09,TechCrunch,,MobilityTech,1,230,0.4
2023-09,TechCrunch,,FinTech,15,230,6.5
2023-09,TechCrunch,,HealthTech,2,230,0.9
2023-09,TechCrunch,,PropTech,1,230,0.4
2023-09,TechCrunch,,HRTech,1,230,0.4
2023-09,TechCrunch,Infrastructure,,4,230,1.7
2023-09,TechCrunch,,Ecommerce,2,230,0.9
2023-09,TechCrunch,,ClimateTech,2,230,0.9
2023-09,TechCrunch,,EdTech,2,230,0.9
2023-09,TechCrunch,,BioTech,2,230,0.9
2023-09,TechCrunch,QuantumTech,,2,230,0.9
2023-09,TechCrunch,,DefenseTech,1,230,0.4
2023-09,TechCrunch,Semiconductors,,12,230,5.2
2023-09,TechCrunch,,Enterprise,1,230,0.4
2023-09,TechCrunch,AgentAI,,1,230,0.4
2023-10,HackerNews,Robotics,,1,38,2.6
2023-10,HackerNews,GenAI,,5,38,13.2
2023-10,HackerNews,LLM,,3,38,7.9
2023-10,HackerNews,Semiconductors,,3,38,7.9
2023-10,HackerNews,,ClimateTech,1,38,2.6
2023-10,TechCrunch,,FinTech,10,230,4.3
2023-10,TechCrunch,,BioTech,2,230,0.9
2023-10,TechCrunch,,HealthTech,5,230,2.2
2023-10,TechCrunch,Web3,,8,230,3.5
2023-10,TechCrunch,,PropTech,1,230,0.4
2023-10,TechCrunch,,ClimateTech,6,230,2.6
2023-10,TechCrunch,GenAI,,45,230,19.6
2023-10,TechCrunch,Robotics,,11,230,4.8
2023-10,TechCrunch,AgentAI,,2,230,0.9
2023-10,TechCrunch,,GameTech,1,230,0.4
2023-10,TechCrunch,Infrastructure,,3,230,1.3
2023-10,TechCrunch,LLM,,14,230,6.1
2023-10,TechCrunch,Semiconductors,,6,230,2.6
2023-10,TechCrunch,,DefenseTech,4,230,1.7
2023-10,TechCrunch,Cybersecurity,,21,230,9.1
2023-10,TechCrunch,ComputerVision,,1,230,0.4
2023-10,TechCrunch,,Ecommerce,1,230,0.4
2023-10,TechCrunch,,CreatorEconomy,1,230,0.4
2023-10,TechCrunch,,EdTech,1,230,0.4
2023-10,TechCrunch,,MedTech,1,230,0.4
2023-10,TechCrunch,QuantumTech,,1,230,0.4
2023-10,TechCrunch,PhysicalAI,,2,230,0.9
2023-11,HackerNews,,DefenseTech,1,26,3.8
2023-11,HackerNews,GenAI,,4,26,15.4
2023-11,HackerNews,LLM,,2,26,7.7
2023-11,HackerNews,Semiconductors,,1,26,3.8
2023-11,HackerNews,Web3,,2,26,7.7
2023-11,TechCrunch,GenAI,,47,219,21.5
2023-11,TechCrunch,LLM,,25,219,11.4
2023-11,TechCrunch,Robotics,,9,219,4.1
2023-11,TechCrunch,PhysicalAI,,1,219,0.5
2023-11,TechCrunch,,MobilityTech,1,219,0.5
2023-11,TechCrunch,Infrastructure,,1,219,0.5
2023-11,TechCrunch,Cybersecurity,,22,219,10.0
2023-11,TechCrunch,,FinTech,5,219,2.3
2023-11,TechCrunch,,ClimateTech,3,219,1.4
2023-11,TechCrunch,Semiconductors,,8,219,3.7
2023-11,TechCrunch,,HealthTech,7,219,3.2
2023-11,TechCrunch,,BioTech,2,219,0.9
2023-11,TechCrunch,Web3,,6,219,2.7
2023-11,TechCrunch,QuantumTech,,1,219,0.5
2023-11,TechCrunch,,Ecommerce,4,219,1.8
2023-11,TechCrunch,AgentAI,,1,219,0.5
2023-12,HackerNews,Semiconductors,,1,21,4.8
2023-12,HackerNews,,ClimateTech,1,21,4.8
2023-12,HackerNews,GenAI,,1,21,4.8
2023-12,HackerNews,LLM,,1,21,4.8
2023-12,HackerNews,Web3,,1,21,4.8
2023-12,TechCrunch,GenAI,,52,195,26.7
2023-12,TechCrunch,LLM,,16,195,8.2
2023-12,TechCrunch,,ClimateTech,4,195,2.1
2023-12,TechCrunch,,SpaceTech,1,195,0.5
2023-12,TechCrunch,PhysicalAI,,4,195,2.1
2023-12,TechCrunch,,FinTech,6,195,3.1
2023-12,TechCrunch,Cybersecurity,,6,195,3.1
2023-12,TechCrunch,,HealthTech,5,195,2.6
2023-12,TechCrunch,Infrastructure,,3,195,1.5
2023-12,TechCrunch,,AgriTech,1,195,0.5
2023-12,TechCrunch,Semiconductors,,9,195,4.6
2023-12,TechCrunch,Robotics,,7,195,3.6
2023-12,TechCrunch,Web3,,4,195,2.1
2023-12,TechCrunch,,MedTech,1,195,0.5
2023-12,TechCrunch,,MobilityTech,2,195,1.0
2023-12,TechCrunch,,DefenseTech,2,195,1.0
2023-12,TechCrunch,QuantumTech,,2,195,1.0
2023-12,TechCrunch,,DigitalHealth,1,195,0.5
2024-01,HackerNews,GenAI,,2,23,8.7
2024-01,HackerNews,,DefenseTech,1,23,4.3
2024-01,HackerNews,,SpaceTech,1,23,4.3
2024-01,TechCrunch,GenAI,,56,192,29.2
2024-01,TechCrunch,LLM,,22,192,11.5
2024-01,TechCrunch,Web3,,11,192,5.7
2024-01,TechCrunch,,FinTech,7,192,3.6
2024-01,TechCrunch,Cybersecurity,,5,192,2.6
2024-01,TechCrunch,Semiconductors,,9,192,4.7
2024-01,TechCrunch,,DefenseTech,3,192,1.6
2024-01,TechCrunch,,BioTech,2,192,1.0
2024-01,TechCrunch,,HealthTech,2,192,1.0
2024-01,TechCrunch,,DigitalHealth,2,192,1.0
2024-01,TechCrunch,Robotics,,8,192,4.2
2024-01,TechCrunch,QuantumTech,,3,192,1.6
2024-01,TechCrunch,,Ecommerce,1,192,0.5
2024-01,TechCrunch,,GameTech,3,192,1.6
2024-01,TechCrunch,Infrastructure,,1,192,0.5
2024-01,TechCrunch,,MobilityTech,1,192,0.5
2024-02,HackerNews,Semiconductors,,1,35,2.9
2024-02,HackerNews,LLM,,1,35,2.9
2024-02,HackerNews,GenAI,,3,35,8.6
2024-02,TechCrunch,GenAI,,44,181,24.3
2024-02,TechCrunch,,FinTech,7,181,3.9
2024-02,TechCrunch,,HealthTech,4,181,2.2
2024-02,TechCrunch,,EdTech,1,181,0.6
2024-02,TechCrunch,,PropTech,1,181,0.6
2024-02,TechCrunch,,BioTech,2,181,1.1
2024-02,TechCrunch,Semiconductors,,8,181,4.4
2024-02,TechCrunch,Web3,,5,181,2.8
2024-02,TechCrunch,LLM,,22,181,12.2
2024-02,TechCrunch,Robotics,,7,181,3.9
2024-02,TechCrunch,ComputerVision,,1,181,0.6
2024-02,TechCrunch,Infrastructure,,3,181,1.7
2024-02,TechCrunch,,MedTech,1,181,0.6
2024-02,TechCrunch,AgentAI,,3,181,1.7
2024-02,TechCrunch,Cybersecurity,,3,181,1.7
2024-02,TechCrunch,,Ecommerce,1,181,0.6
2024-02,TechCrunch,,ClimateTech,1,181,0.6
2024-02,TechCrunch,,Enterprise,1,181,0.6
2024-03,HackerNews,GenAI,,3,25,12.0
2024-03,HackerNews,LLM,,1,25,4.0
2024-03,HackerNews,Semiconductors,,1,25,4.0
2024-03,TechCrunch,,ClimateTech,3,189,1.6
2024-03,TechCrunch,QuantumTech,,2,189,1.1
2024-03,TechCrunch,,DefenseTech,4,189,2.1
2024-03,TechCrunch,,FinTech,8,189,4.2
2024-03,TechCrunch,Web3,,12,189,6.3
2024-03,TechCrunch,Robotics,,14,189,7.4
2024-03,TechCrunch,GenAI,,34,189,18.0
2024-03,TechCrunch,LLM,,17,189,9.0
2024-03,TechCrunch,Semiconductors,,9,189,4.8
2024-03,TechCrunch,,SpaceTech,1,189,0.5
2024-03,TechCrunch,,HealthTech,3,189,1.6
2024-03,TechCrunch,Infrastructure,,3,189,1.6
2024-03,TechCrunch,Cybersecurity,,1,189,0.5
2024-03,TechCrunch,,BioTech,2,189,1.1
2024-03,TechCrunch,,Enterprise,1,189,0.5
2024-03,TechCrunch,,MobilityTech,1,189,0.5
2024-03,TechCrunch,AgentAI,,2,189,1.1
2024-04,HackerNews,AgentAI,,2,28,7.1
2024-04,HackerNews,GenAI,,4,28,14.3
2024-04,HackerNews,LLM,,4,28,14.3
2024-04,HackerNews,Robotics,,1,28,3.6
2024-04,HackerNews,Infrastructure,,1,28,3.6
2024-04,TechCrunch,,HealthTech,3,173,1.7
2024-04,TechCrunch,,DigitalHealth,1,173,0.6
2024-04,TechCrunch,GenAI,,41,173,23.7
2024-04,TechCrunch,LLM,,23,173,13.3
2024-04,TechCrunch,Robotics,,6,173,3.5
2024-04,TechCrunch,Semiconductors,,11,173,6.4
2024-04,TechCrunch,,EdTech,1,173,0.6
2024-04,TechCrunch,AgentAI,,3,173,1.7
2024-04,TechCrunch,,FinTech,7,173,4.0
2024-04,TechCrunch,,ClimateTech,4,173,2.3
2024-04,TechCrunch,,GameTech,1,173,0.6
2024-04,TechCrunch,,SpaceTech,1,173,0.6
2024-04,TechCrunch,Web3,,3,173,1.7
2024-04,TechCrunch,Infrastructure,,3,173,1.7
2024-04,TechCrunch,QuantumTech,,1,173,0.6
2024-04,TechCrunch,Cybersecurity,,3,173,1.7
2024-04,TechCrunch,,DefenseTech,1,173,0.6
2024-05,HackerNews,Semiconductors,,1,25,4.0
2024-05,HackerNews,GenAI,,4,25,16.0
2024-05,HackerNews,LLM,,4,25,16.0
2024-05,HackerNews,Cybersecurity,,1,25,4.0
2024-05,HackerNews,,ClimateTech,1,25,4.0
2024-05,HackerNews,,HealthTech,1,25,4.0
2024-05,TechCrunch,GenAI,,45,171,26.3
