job_title,mbi_profil,company,location,veroeffentlicht_am,url,quelle,Fachkompetenz_Score,Sozialkompetenz_Score,Methodenkompetenz_Score,Personalkompetenz_Score,Fachdetail_Score,FK_Waren_Produktkenntnisse,FK_Komplexe_Fertigkeiten,FK_Fremdsprachen,FK_Fuehrerschein,FK_Auslandserfahrung,FK_Vertriebserfahrung,FK_Projekterfahrung,FK_EDV_Kenntnisse,FK_Berufsausbildung,FK_Branchenerfahrung,FD_Python,FD_Java,FD_JavaScript_TypeScript,FD_CSharp,FD_SQL,FD_R_Statistik,FD_HTML_CSS,FD_PHP_Ruby_andere,FD_Cloud_AWS_Azure_GCP,FD_Docker_Kubernetes,FD_DevOps_CICD,FD_Data_Science_ML,FD_AI_KI,FD_NLP_LLM,FD_Data_Analysis_BI,FD_Data_Engineering_ETL,FD_SAP,FD_Salesforce,FD_ERP,FD_CRM,FD_MS_Office,FD_Jira_Confluence,FD_Cyber_Security,FD_Datenschutz_DSGVO,FD_UX_UI_Design,FD_API_Webentwicklung,FD_Scraping_Automatisierung,FD_Agile_Scrum,FD_Berufserfahrung_Jahre,SK_Kooperationsfaehigkeit,SK_Verhandlungsgeschick,SK_Durchsetzungsvermoegen,SK_Kritikfaehigkeit,SK_Teamfaehigkeit,SK_Hilfsbereitschaft,SK_Fairness,SK_Kundenorientierung,SK_Vorurteilsfreiheit,SK_Respekt,MK_Konzeptionelle_Staerke,MK_Effektives_Arbeiten,MK_Projektmanagement,MK_Strategieentwicklung,MK_Praesentation,MK_Selbstmanagement,MK_Moderationstechnik,MK_Koordination,MK_Kreatives_Denken,MK_Stressmanagement,PK_Ausstrahlung_Charisma,PK_Aufgeschlossenheit,PK_Unternehmerisches_Denken,PK_Menschenkenntnis,PK_Empathie,PK_Auffassungsgabe,PK_Motivation,PK_Interesse,PK_Belastbarkeit,PK_Entschlossenheit
Internship Third Party Products,Transforming & Managing Digital Business,BBVA,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=6995e9e9c829c0be,indeed,6,1,6,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Solutions Analyst - AI Center of Excellence,Technology Solution Architect,KPMG Switzerland,"Homeoffice in 8036 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=23c81262e0d08117,indeed,2,5,7,3,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0
Technical Product Manager (100% Remote),Start-up & Scale-up Entrepreneurship,Tether Operations Limited,"Homeoffice in Zürich, ZH",,https://ch.indeed.com/viewjob?jk=a8af190ce445adfd,indeed,5,5,7,3,7,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
Specialist - Solutions Architect (Anaplan),Technology Solution Architect,On AG,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=947f25e18e368487,indeed,4,5,6,2,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Specialist - Anaplan Solution Architect/Model Builder,Technology Solution Architect,On AG,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=50225f607c1dd750,indeed,4,5,6,2,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Product Owner (m/f/d),Start-up & Scale-up Entrepreneurship,Infront Financial Technology GmbH,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=6a367a83989119f4,indeed,5,3,7,4,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0
Business Development Associate,Business Development,TherianLabs,"6300 Zug, ZG",,https://ch.indeed.com/viewjob?jk=30e8845510be9e2f,indeed,4,3,2,1,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2026 Graduate Talent Program – Tech – Digital Assets (Strategy) – ZH,Transforming & Managing Digital Business,UBS,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=acf98119ef5e2fce,indeed,4,5,8,5,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1
"Product Manager - Europe, 100% remote",Start-up & Scale-up Entrepreneurship,LimeFlight,"Homeoffice in Zürich, ZH",,https://ch.indeed.com/viewjob?jk=c1cec0fe0deed7f2,indeed,5,5,8,2,4,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
Graduate - Corporate Sustainability Services,Transforming & Managing Digital Business,KPMG Switzerland,"Homeoffice in 8004 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=901669e3404cb11b,indeed,6,5,3,4,3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
