course_id,course_title,ects,language,EC_Opportunity,EC_Strategic,EC_Commitment,EC_Analytical,EC_Innovative,EC_Human,EC_Operational,EC_Relationship,EC_Learning,EC_Personal_Strength,EC_Technical,EC_Ethical,Sector_GenAI,Sector_HealthTech,Sector_MedTech,Sector_BioTech,Sector_Robotics,n_ec_domains_covered,ec_total_score,sector_total_score
"7,028",IT Management: Strategische Positionierung der IT in der,3,DE,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0
"7,029",Quality Management for Superior Performance and Innovation,3,EN,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,6,0
"7,031","Methoden: Web, Social und Mobile Analytics",3,DE,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,4,0
"7,034",Methods: Supply Chain and Operations Management,3,EN,0,0,0,3,0,0,3,2,3,0,0,0,0,0,0,0,0,4,11,0
"7,035",Methods: Lean Venturing,3,EN,0,2,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,5,7,0
"7,036",Project Leadership für Business Innovation,3,DE,0,2,0,1,0,3,3,3,1,0,0,2,0,0,0,0,0,7,15,0
"7,037",Effective Data Communication - How to Talk about Data,3,EN,0,0,2,1,0,0,0,3,0,2,0,0,0,0,0,0,0,4,8,0
"7,038",Management von Verkehrsunternehmen,3,DE,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,0
"7,039",Gestaltung und Management von Digital Channels und,3,DE,0,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,5,7,0
"7,041",Asia Compact: Fintech Innovation in Singapore and Southeast,3,EN,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0
"7,043",Mobile Sensing and Behavioral Metrics,6,EN,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,3,5,2
"7,044",Turning Geographic Information into Business Insights,6,EN,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,3,6,0
"7,046",Corporate Venture Capital,3,EN,0,1,0,1,0,0,2,3,1,0,1,0,0,0,0,0,0,6,9,0
"7,047",IC: Responsible Innovation Lab,4,EN,0,0,0,1,1,0,2,1,1,0,3,3,0,0,0,0,0,7,12,0
"7,082",Behavioral Science & Technology,4,EN,0,0,2,3,0,0,0,0,0,1,3,0,0,0,0,0,0,4,9,0
"7,852",User-Centred Design,6,EN,0,0,0,3,0,0,2,0,3,0,1,0,0,0,0,0,0,4,9,0
"7,862",Software Assessment: From Planning to Experimentation,6,EN,0,0,0,2,0,0,3,0,3,0,3,0,0,0,0,0,0,4,11,0
"7,864",Ubiquitous Computing,3,EN,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,3,7,0
"9,004",FPV: Design Thinking mit KI,4,DE,0,0,0,0,3,1,0,1,2,0,1,0,0,0,0,0,0,5,8,0
"9,005",RPV: Aviation and Space Industry,4,EN,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,4,3
"9,007","Introduction to Blockchain, DLT & Crypto",3,EN,0,2,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,4,9,0
"9,008",IC: Lean Product and Outsourcing Management,4,EN,0,0,1,3,2,0,3,1,3,0,0,0,0,0,0,0,0,6,13,0
"9,009",FPV: Circular Economy - Optimierung im Supply Chain,4,DE,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,4,0
"9,012",Community Management,3,DE,0,1,0,0,2,2,1,3,0,0,2,0,0,0,0,0,0,6,11,0
"9,014",Introduction to Software Engineering,6,EN,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,4,0
