Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Unify,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Evoly,INDUSTRIALS,ENERGY,,ENERGY,2022.0,,,Accelerator,Y Combinator,USA,2022.0,Seed,,,Active
Popsy,B2B,MARKETING,,MARKETING,2022.0,,,Accelerator,Y Combinator,Slovenia,2022.0,Seed,,,Active
Windmill,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2022.0,,,Accelerator,Y Combinator,France,2022.0,Seed,,,Active
IvyCheck,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2022.0,,,Accelerator,Y Combinator,Germany,2022.0,Seed,,,Active
Signatur Biosciences,HEALTHCARE,DIAGNOSTICS,,DIAGNOSTICS,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Moneco,FINTECH,BANKING AND EXCHANGE,,BANKING AND EXCHANGE,2022.0,,,Accelerator,Y Combinator,France,2022.0,Seed,,,Active
Cerrion,INDUSTRIALS,,,,2022.0,,,Accelerator,Y Combinator,Switzerland,2022.0,Seed,,,Active
Devyce,B2B,OPERATIONS,,OPERATIONS,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
WhiteLab Genomics,HEALTHCARE,DRUG DISCOVERY AND DELIVERY,,DRUG DISCOVERY AND DELIVERY,2022.0,,,Accelerator,Y Combinator,France,2022.0,Seed,,,Active
Powerdocs,B2B,,,,2022.0,,,Accelerator,Y Combinator,Germany,2022.0,Seed,,,Active
Cellbyte,HEALTHCARE,HEALTHCARE IT,,HEALTHCARE IT,2022.0,,,Accelerator,Y Combinator,Germany,2022.0,Seed,,,Active
Kenobi,B2B,SALES,,SALES,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Heptabase,CONSUMER,,,,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
