Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Mimic,AI/ML,AI/ML,Unknown,"AI, Robotics",2025,16.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Tethys,ROBOTICS,Industrial Robotics,Unknown,Robotics,2025,3.5M EUR,Pre-Seed,Pre-Seed,,Switzerland,,,,,
ONWARD,HEALTHCARE,,Unknown,"AI, Healthtech, AR/VR",2025,50.85M EUR,Undisclosed,Growth,,Switzerland,,,,,
MoleSense,MOBILITY,Electric Vehicles,Unknown,AR/VR,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Exnaton,SOFTWARE,SaaS,B2B,"AI, SaaS, Cleantech",2025,,Series A,Series A,,Switzerland,,,,,
Anevo,AI/ML,AI/ML,Unknown,AI,2025,,Pre-Seed,Pre-Seed,,Switzerland,,,,,
AIpowered,HEALTHCARE,MedTech,B2B,"AI, SaaS, Biotech, IoT, Healthtech, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,SOFTWARE,,Unknown,"AI, AR/VR",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,AI/ML,AI/ML,Unknown,"AI, Cleantech, AR/VR",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
RetinAI,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Neology,Unknown,,Unknown,,2025,2.5M CHF,Undisclosed,Series A,,Switzerland,,,,,
HemostOD,SOFTWARE,SaaS,B2B,"AI, SaaS",2025,4.3M CHF,Undisclosed,Series B,,Switzerland,,,,,
Behind,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
FenX,AI/ML,AI/ML,Unknown,AI,2025,8.2M CHF,Undisclosed,Series B,,Switzerland,,,,,
Behind,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Germany,CLEANTECH,Energy,Unknown,"Cleantech, Robotics",2025,3.3M EUR,Funding Round,Series B,,Switzerland,,,,,
