Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Publication_Date,Article_Text,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Mimic,AI/ML,AI/ML,B2B,"Robotics, PhysicalAI, AI",03.11.2025,USD 16 million for Mimic Robotics to bring physical AI to industry,2025,16.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Tethys,ROBOTICS,Industrial Robotics,B2B,Robotics,30.10.2025,Tethys Robotics advances subsea automation with EUR 3.5 million pre-seed round,2025,3.5M EUR,Pre-Seed,Pre-Seed,UBS,Switzerland,,,,,
ONWARD,HEALTHCARE,AI/ML,Unknown,,28.10.2025,ONWARD Medical raises EUR 50.85 million to advance spinal cord injury therapies,2025,50.85M EUR,Undisclosed,Growth,,Switzerland,,,,,
MoleSense,AI/ML,HealthTech,B2B,WearableTech,28.10.2025,"MoleSense receives CHF 150,000 from Venture Kick to develop the first molecular wearable for maternity care",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Exnaton,SOFTWARE,SaaS,B2B,"Venture Capital, AI",23.10.2025,Exnaton secures Series A Funding to scale its AI-driven platform for the new energy era,2025,,Series A,Series A,,Switzerland,,,,,
Anevo,AI/ML,AI/ML,B2B,PropTech,20.10.2025,Anevo raises pre-seed round to automate busy work in real estate,2025,,Pre-Seed,Pre-Seed,,Switzerland,,,,,
AIpowered,HEALTHCARE,Drug Discovery,B2B,"Robotics, AI, IoT, Semiconductors, HealthTech",20.10.2025,"CHF 10,000 for smart robotic beds, an AI-powered scientific platform, a drug discovery biosensor platform, Gallium Nitride (GaN) semiconductor drivers, and a AI-based software as a medical Device",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,SOFTWARE,Medical Devices,B2B,AI,20.10.2025,"CHF 40,000 for innovative cycling technology, an AI-driven flat hunting app, and the first surgical device for measuring valve leakage during heart surgery",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,AI/ML,AI/ML,B2B,"AI, ClimateTech",16.10.2025,"CHF 40,000 for adaptable endoscopes, AI-driven protein optimization, and next-gen solar installations",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
RetinAI,AI/ML,AI/ML,B2B,AI,15.10.2025,RetinAI acquired by EssilorLuxottica to advance AI-powered eye care,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
